,PLOT,Measurement Year,Annual Diameter Growth,Annual Height Growth,Annual_BAG,TREE NR
119,1161,2022,-26.032733070955537,-27.666991542491413,-0.45578296835622084,30
120,1161,2023,10.604032258064516,2.5093226827276442,0.24788258684736736,31
121,1162,2022,inf,inf,inf,38
122,1162,2023,inf,inf,inf,38
123,1163,2022,inf,inf,inf,50
124,1163,2023,2.343517974683545,2.2312613924050635,0.09113924338851002,50
125,1164,2022,inf,inf,inf,45
126,1164,2023,,-inf,,45
127,1165,2022,-98.35152084973546,-88.61617647594841,-2.798588625826795,47
128,1165,2023,-inf,-inf,-inf,47
129,1166,2022,inf,inf,inf,59
130,1166,2023,-inf,-inf,-inf,57
131,1167,2022,,,,72
132,1167,2023,2.3742609828741625,1.1558544303797469,0.1492694424610865,68
133,1168,2022,inf,inf,inf,65
134,1168,2023,2.470875700352771,1.5575612160199213,0.12626200854601946,61
135,1169,2022,inf,inf,inf,55
136,1169,2023,3.183812360387193,1.9572468354430383,0.1999511591024018,51
137,117,2018,0.5516818280353482,0.5916143655248509,0.034967825262043596,55
138,117,2019,3.8574343039772727,3.120708451704546,0.19972106433761733,44
139,117,2021,2.50984749584619,2.0888303317113692,0.20245821857962934,44
140,117,2023,1.1116068567111854,0.22874369859677293,0.1336216630802222,44
141,1170,2022,36.36474212946506,25.217808151613657,1.851991620138511,53
142,1170,2023,3.3897828957019214,2.0020793604224734,0.19775201028922984,51
143,1171,2022,,,,53
144,1171,2023,-inf,-inf,-inf,53
145,1172,2022,5.269557591673378,3.7461794244214888,0.25163713170047164,34
146,1172,2023,inf,inf,inf,33
147,1173,2022,-21.000826666911987,-16.176149742226116,-0.7888727888525975,57
148,1173,2023,6.307084821428572,-0.30981026785714316,0.5342791496406885,56
149,1174,2022,inf,inf,inf,49
150,1174,2023,2.6613596906565653,2.675771385732323,0.16974466447563608,48
151,1175,2022,25.922726278792283,23.068495350435775,1.1842101714974518,61
152,1175,2023,3.0043808975834296,inf,0.2092216734308687,56
153,1176,2022,-27.024801926359068,-11.404377906006854,0.6090789025408412,53
154,1176,2023,-2.1963490823896894,9.685328973057398,-0.25098067693861037,52
155,1177,2022,8.612575238525727,-2.4283241656991836,0.747280348096121,51
156,1177,2023,,,,55
157,1178,2022,,,,59
158,1178,2023,2.5365026189436928,2.2662718245307727,0.1154053756673472,58
159,1179,2022,67.27051420897591,52.23952629526945,1.650607567092529,29
160,1179,2023,,,,26
161,118,2018,-0.1745652889448415,0.03410652837752896,-0.009982008666829176,64
162,118,2019,4.250405229757627,2.5482882865662515,0.27968871732128764,41
163,118,2021,2.1278435052219318,2.1725460998694515,0.1920692256982222,40
164,118,2023,1.5103201590267692,0.332575560555158,0.17438732141550725,40
165,1180,2022,inf,inf,inf,31
166,1180,2023,2.0969436504695795,1.4093966925275625,0.04677379360163803,31
167,1181,2022,6.158579272977082,4.363120579819118,0.08439125318971373,11
168,1181,2023,,,,19
169,1182,2022,inf,inf,inf,27
170,1182,2023,,,,28
171,1183,2022,4.216756816630209,5.288172870620257,-0.05332679968849646,35
172,1183,2023,,,,41
173,1184,2022,-inf,,-inf,40
174,1184,2023,inf,inf,inf,39
175,1185,2022,inf,inf,inf,64
176,1185,2023,2.7956265822784814,1.6451661392405064,0.18935960556018785,60
177,1186,2022,,,,42
178,1186,2023,0.84907151769118,-0.27398189777782617,-0.030982198227402592,39
179,1187,2022,-16.5945393700632,-26.602150958379223,-0.4727135072271182,57
180,1187,2023,1.9080223880597016,-0.11357276119402986,0.09199857217254305,38
181,1188,2022,inf,inf,inf,42
182,1188,2023,1.5881439873417722,-0.5490308544303797,0.13658122030420086,40
183,1189,2022,121.64516664773409,54.33973606689242,6.300286868768156,31
184,1189,2023,1.6077562270314414,0.8799407921600655,0.11770321407982418,31
185,119,2018,1.1034672618530212,1.000356310209444,0.14825243945858205,78
186,119,2019,3.051823607427056,2.746861435977815,0.22403658156018955,52
187,119,2021,1.9486582240201475,2.050815462744691,0.20209128932203665,53
188,119,2023,1.0934528301886792,0.14548742138364779,0.1461417860295997,53
189,1190,2022,6.344962649364098,2.1896757560994593,0.8582217591066935,70
190,1190,2023,0.5183459904804677,2.0195712286705105,-0.0007054691358691113,60
191,1191,2022,2.2986357615466066,-60.56204744534323,0.48735344404094794,51
192,1191,2023,-inf,-inf,-inf,52
193,1192,2022,inf,,inf,74
194,1192,2023,2.0781771762035985,0.9946830928837737,0.2304952144102155,62
